City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,karwar,0,IN,1547424143,77,14.8,74.13,62.88,1.97
126,port elizabeth,90,US,1547423640,68,39.31,-74.98,32.0,12.75
127,buta,64,CD,1547424144,80,2.79,24.73,77.1,2.19
128,gweru,24,ZW,1547424145,83,-19.46,29.82,68.28,4.76
129,college,1,US,1547420280,76,64.86,-147.8,-5.08,2.98
130,tumsar,0,IN,1547424145,88,21.38,79.75,63.19,9.57
131,san joaquin,36,PH,1547424145,78,10.59,122.14,77.55,16.28
132,nanortalik,80,GL,1547424146,100,60.14,-45.24,26.97,19.53
133,chirkey,20,RU,1547422200,91,42.96,46.98,35.6,4.47
134,takab,92,IR,1547424124,89,36.4,47.11,33.45,4.99
135,panzhihua,0,CN,1547424147,69,26.59,101.72,33.9,2.42
136,vanimo,80,PG,1547424147,100,-2.67,141.3,82.0,16.51
137,san carlos de bariloche,0,AR,1547420400,13,-41.13,-71.31,75.2,9.17
138,sumenep,68,ID,1547424147,100,-7.02,113.87,81.55,11.03
139,longyearbyen,40,NO,1547419800,61,78.22,15.63,14.0,18.34
140,kyzyl-suu,0,KG,1547424148,100,42.34,78.0,5.86,3.31
141,zhenlai,24,CN,1547424148,62,45.84,123.2,4.06,7.56
142,barrow,92,AR,1547423741,97,-38.31,-60.23,65.17,9.24
143,butaritari,76,KI,1547424149,100,3.07,172.79,83.13,15.05
144,esperance,20,TT,1547420400,73,10.24,-61.45,77.0,4.7
145,bijie,92,CN,1547423882,97,27.3,105.3,35.83,3.53
146,high prairie,0,CA,1547424150,89,55.43,-116.48,24.94,2.53
147,lubango,32,AO,1547423989,79,-14.92,13.49,53.83,1.97
148,luyang,90,CN,1547420400,93,31.88,117.26,35.6,6.71
149,wynyard,80,CA,1547423777,95,51.77,-104.18,20.17,6.22
150,khabary,8,RU,1547424151,72,53.63,79.53,1.23,10.47
151,baykit,88,RU,1547424151,51,61.68,96.39,-18.26,6.78
152,celestun,0,MX,1547424151,95,20.87,-90.4,75.34,18.07
153,nabire,0,ID,1547424152,87,-3.36,135.5,76.24,1.86
154,magdagachi,64,RU,1547424153,86,53.45,125.8,-6.65,2.53
155,okha,0,RU,1547424091,80,53.59,142.95,-0.94,7.0
156,navirai,56,BR,1547424153,92,-23.07,-54.19,74.44,1.63
157,vao,88,EE,1547424153,94,59.1,26.19,27.78,8.23
158,swift current,1,CA,1547420400,55,50.29,-107.8,37.4,6.93
159,hovd,75,NO,1547421600,92,63.83,10.7,33.8,25.28
160,luderitz,0,NA,1547423756,86,-26.65,15.16,62.38,14.83
161,itaquyry,32,PY,1547424155,97,-24.93,-55.22,75.52,1.74
162,mahibadhoo,68,MV,1547423867,100,3.78,72.97,80.88,16.06
163,pisco,0,PE,1547420400,30,-13.71,-76.2,71.6,24.16
164,bagdarin,0,RU,1547424156,39,54.44,113.59,-15.2,7.45
165,kiruna,56,SE,1547421600,92,67.86,20.23,6.8,2.53
166,hofn,80,IS,1547423514,100,64.25,-15.21,26.83,3.76
167,mahebourg,40,MU,1547420400,74,-20.41,57.7,78.8,6.93
168,saint-augustin,75,FR,1547422200,93,44.83,-0.61,50.0,9.17
169,avarua,40,CK,1547420400,70,-21.21,-159.78,84.2,6.93
170,beausejour,90,CA,1547422980,79,50.06,-96.51,19.4,4.7
171,bambous virieux,40,MU,1547420400,74,-20.34,57.76,78.8,6.93
172,naze,20,NG,1547420400,88,5.43,7.07,80.6,2.24
173,chumikan,0,RU,1547424158,44,54.72,135.31,-14.53,2.19
174,teahupoo,90,PF,1547422200,78,-17.83,-149.27,82.4,10.29
175,bereda,75,ES,1547422200,81,43.27,-7.54,50.0,1.12
176,pagegiai,92,LT,1547424159,100,55.14,21.91,34.39,10.58
177,black river,75,JM,1547420400,69,18.03,-77.85,80.6,6.93
178,manhattan beach,90,US,1547423580,49,33.9,-118.4,64.94,5.82
179,mar del plata,0,AR,1547423860,36,-46.43,-67.52,71.83,4.88
180,beloha,92,MG,1547424160,94,-25.17,45.06,73.0,2.64
